chunk,err,loci,rate
1,2716,15160,0.179155672823219
1,984,15476,0.0635823210131817
1,6388,15282,0.418008114121188
1,982,15050,0.0652491694352159
1,1268,14980,0.0846461949265688
1,1078,15022,0.0717614165890028
1,900,15380,0.05851755526658
1,1080,15316,0.0705144946461217
1,1136,15370,0.0739102147039688
1,1500,15124,0.0991801110817244
1,1192,15232,0.0782563025210084
1,1004,15332,0.0654839551265327
1,960,15406,0.06231338439569
1,1264,15370,0.0822381262199089
1,1382,15544,0.0889089037570767
1,1162,15256,0.0761667540639748
1,1104,15220,0.0725361366622865
1,936,15220,0.0614980289093298
1,1350,15296,0.0882583682008368
1,1086,15244,0.071241144056678
1,930,15376,0.0604838709677419
1,4470,15150,0.295049504950495
1,1280,14796,0.0865098675317653
1,6722,15266,0.440324905017686
1,1232,15240,0.0808398950131234
1,1210,15390,0.0786224821312541
1,1300,15310,0.084911822338341
1,1036,15532,0.0667010043780582
1,1054,15170,0.0694792353328939
1,1026,15360,0.066796875
1,1098,15228,0.0721040189125296
1,1062,15168,0.0700158227848101
1,1048,15288,0.0685504971219257
1,1310,15268,0.0858003667801939
1,1008,15510,0.0649903288201161
1,948,15100,0.0627814569536424
1,1116,15388,0.0725240447101638
1,1216,15082,0.0806259116828007
1,7578,15526,0.488084503413629
1,1130,15262,0.0740400995937623
1,1170,15250,0.0767213114754098
1,6148,14806,0.415237066054302
1,1530,15400,0.0993506493506494
1,1372,15510,0.0884590586718246
1,1652,15166,0.108927864961097
1,1046,15474,0.0675972599198656
1,4660,15490,0.300839251129761
1,1072,15500,0.0691612903225806
1,982,15162,0.0647671811106714
1,960,15210,0.0631163708086785
1,1078,15112,0.0713340391741662
1,1066,15232,0.069984243697479
1,1156,15556,0.0743121625096426
1,1016,14914,0.0681239104197398
1,840,15100,0.0556291390728477
1,3780,15432,0.244945567651633
1,1140,15650,0.0728434504792332
1,1054,15282,0.0689700301007722
1,1350,15098,0.0894158166644589
1,1098,15202,0.072227338508091
1,1138,15406,0.0738673244190575
1,1218,15170,0.0802900461437047
1,1138,15298,0.0743888089946398
1,1032,15368,0.0671525247267048
1,1448,15198,0.0952756941702856
1,7134,15656,0.455671946857435
1,914,15418,0.0592813594499935
1,7044,15128,0.465626652564781
1,928,15128,0.0613432046536224
1,1184,14976,0.0790598290598291
1,1210,15290,0.079136690647482
1,1282,15242,0.0841096968901719
1,1070,15268,0.0700812156143568
1,3514,15102,0.232684412660575
1,942,15284,0.0616330803454593
1,938,15464,0.0606570098292809
1,810,15144,0.053486529318542
1,960,15128,0.0634584875727129
1,1016,15386,0.0660340569348759
1,1002,15192,0.065955766192733
1,1004,15426,0.0650849215610009
1,1156,15216,0.0759726603575184
1,866,15290,0.0566383257030739
1,946,15082,0.062723776687442
1,910,15166,0.0600026374785705
1,1424,15264,0.0932914046121593
1,1210,15328,0.0789405010438413
1,1104,15410,0.0716417910447761
1,5680,15170,0.374423203691496
1,7064,15404,0.458582186445079
1,926,15326,0.0604202009656792
1,4966,15186,0.327011721322271
1,1066,15362,0.0693920062491863
1,1000,15216,0.065720294426919
1,1008,15324,0.0657791699295223
1,1132,15222,0.0743660491394035
1,1052,15256,0.0689564761405349
1,1042,15156,0.0687516495117445
1,1160,15224,0.0761954808197583
1,1002,15506,0.0646201470398555
